Date,Close
2018-05-01,1582.26
2018-05-02,1569.68
2018-05-03,1572.08
2018-05-04,1580.95
2018-05-07,1600.14
2018-05-08,1592.39
2018-05-09,1608
2018-05-10,1609.08
2018-05-11,1602.91
2018-05-14,1601.54
2018-05-15,1576.12
2018-05-16,1587.28
2018-05-17,1581.76
2018-05-18,1574.37
2018-05-21,1585.46
2018-05-22,1581.4
2018-05-23,1601.86
2018-05-24,1603.07
2018-05-25,1610.15
2018-05-29,1612.87
2018-05-30,1624.89
2018-05-31,1629.62
2018-06-01,1641.54
2018-06-04,1665.27
2018-06-05,1696.35
2018-06-06,1695.75
2018-06-07,1689.3
2018-06-08,1683.99
2018-06-11,1689.12
2018-06-12,1698.75
2018-06-13,1704.86
2018-06-14,1723.86
2018-06-15,1715.97
2018-06-18,1723.79
2018-06-19,1734.78
2018-06-20,1750.08
2018-06-21,1730.22
2018-06-22,1715.67
2018-06-25,1663.15
2018-06-26,1691.09
2018-06-27,1660.51
2018-06-28,1701.45
2018-06-29,1699.8
2018-07-02,1713.78
2018-07-03,1693.96
2018-07-05,1699.73
2018-07-06,1710.63
2018-07-09,1739.02
2018-07-10,1743.07
2018-07-11,1755
2018-07-12,1796.62
2018-07-13,1813.03
2018-07-16,1822.49
2018-07-17,1843.93
2018-07-18,1842.92
2018-07-19,1812.97
2018-07-20,1813.7
2018-07-23,1802
2018-07-24,1829.24
2018-07-25,1863.61
2018-07-26,1808
2018-07-27,1817.27
2018-07-30,1779.22
2018-07-31,1777.44
2018-08-01,1797.17
2018-08-02,1834.33
2018-08-03,1823.29
2018-08-06,1847.75
2018-08-07,1862.48
2018-08-08,1886.52
2018-08-09,1898.52
2018-08-10,1886.3
2018-08-13,1896.2
2018-08-14,1919.65
2018-08-15,1882.62
2018-08-16,1886.52
2018-08-17,1882.22
2018-08-20,1876.71
2018-08-21,1883.42
2018-08-22,1904.9
2018-08-23,1902.9
2018-08-24,1905.39
2018-08-27,1927.68
2018-08-28,1932.82
2018-08-29,1998.1
2018-08-30,2002.38
2018-08-31,2012.71
2018-09-04,2039.51
2018-09-05,1994.82
2018-09-06,1958.31
2018-09-07,1952.07
2018-09-10,1939.01
2018-09-11,1987.15
2018-09-12,1990
2018-09-13,1989.87
2018-09-14,1970.19
2018-09-17,1908.03
2018-09-18,1941.05
2018-09-19,1926.42
2018-09-20,1944.3
2018-09-21,1915.01
2018-09-24,1934.36
2018-09-25,1974.55
2018-09-26,1974.85
2018-09-27,2012.98
2018-09-28,2003
2018-10-01,2004.36
2018-10-02,1971.31
2018-10-03,1952.76
2018-10-04,1909.42
2018-10-05,1889.65
2018-10-08,1864.42
2018-10-09,1870.32
2018-10-10,1755.25
2018-10-11,1719.36
2018-10-12,1788.61
2018-10-15,1760.95
2018-10-16,1819.96
2018-10-17,1831.73
2018-10-18,1770.72
2018-10-19,1764.03
2018-10-22,1789.3
2018-10-23,1768.7
2018-10-24,1664.2
2018-10-25,1782.17
2018-10-26,1642.81
2018-10-29,1538.88
2018-10-30,1530.42
2018-10-31,1598.01
2018-11-01,1665.53
2018-11-02,1665.53
2018-11-05,1627.8
2018-11-06,1642.81
2018-11-07,1755.49
2018-11-08,1754.91
2018-11-09,1712.43
2018-11-12,1636.85
2018-11-13,1631.17
2018-11-14,1599.01
2018-11-15,1619.44
2018-11-16,1593.41
2018-11-19,1512.29
2018-11-20,1495.46
2018-11-21,1516.73
2018-11-23,1502.06
2018-11-26,1581.33
2018-11-27,1581.42
2018-11-28,1677.75
2018-11-29,1673.57
2018-11-30,1690.17
2018-12-03,1772.36
2018-12-04,1668.4
2018-12-06,1699.19
2018-12-07,1629.13
2018-12-10,1641.03
2018-12-11,1643.24
2018-12-12,1663.54
2018-12-13,1658.38
2018-12-14,1591.91
2018-12-17,1520.91
2018-12-18,1551.48
2018-12-19,1495.08
2018-12-20,1460.83
2018-12-21,1377.45
2018-12-24,1343.96
2018-12-26,1470.9
2018-12-27,1461.64
2018-12-28,1478.02
2018-12-31,1501.97
2019-01-02,1539.13
2019-01-03,1500.28
2019-01-04,1575.39
2019-01-07,1629.51
2019-01-08,1656.58
2019-01-09,1659.42
2019-01-10,1656.22
2019-01-11,1640.56
2019-01-14,1617.21
2019-01-15,1674.56
2019-01-16,1683.78
2019-01-17,1693.22
2019-01-18,1696.2
2019-01-22,1632.17
2019-01-23,1640.02
2019-01-24,1654.93
2019-01-25,1670.57
2019-01-28,1637.89
2019-01-29,1593.88
2019-01-30,1670.43
2019-01-31,1718.73
2019-02-01,1626.23
2019-02-04,1633.31
2019-02-05,1658.81
2019-02-06,1640.26
2019-02-07,1614.37
2019-02-08,1588.22
2019-02-11,1591
2019-02-12,1638.01
2019-02-13,1640
2019-02-14,1622.65
2019-02-15,1607.95
2019-02-19,1627.58
2019-02-20,1622.1
2019-02-21,1619.44
2019-02-22,1631.56
2019-02-25,1633
2019-02-26,1636.4
2019-02-27,1641.09
2019-02-28,1639.83
2019-03-01,1671.73
2019-03-04,1696.17
2019-03-05,1692.43
2019-03-06,1668.95
2019-03-07,1625.95
2019-03-08,1620.8
2019-03-11,1670.62
2019-03-12,1673.1
2019-03-13,1690.81
2019-03-14,1686.22
2019-03-15,1712.36
2019-03-18,1742.15
2019-03-19,1761.85
2019-03-20,1797.27
2019-03-21,1819.26
2019-03-22,1764.77
2019-03-25,1774.26
2019-03-26,1783.76
2019-03-27,1765.7
